sido,year,month,pop_end,pop_change
부산광역시,2024,2024년06월,3280749.0,-2002.0
부산광역시,2024,2024년07월,3278280.0,-2469.0
부산광역시,2024,2024년08월,3275593.0,-2687.0
부산광역시,2024,2024년09월,3273473.0,-2120.0
부산광역시,2024,2024년10월,3271062.0,-2411.0
부산광역시,2024,2024년11월,3268993.0,-2069.0
부산광역시,2024,2024년12월,3266598.0,-2395.0
대구광역시,2023,2023년01월,2362880.0,-811.0
대구광역시,2023,2023년02월,2360662.0,-2218.0
대구광역시,2023,2023년03월,2358988.0,-1674.0
대구광역시,2023,2023년04월,2357881.0,-1107.0
대구광역시,2023,2023년05월,2357032.0,-849.0
대구광역시,2023,2023년06월,2356416.0,-616.0
대구광역시,2023,2023년07월,2379086.0,-516.0
대구광역시,2023,2023년08월,2378464.0,-622.0
대구광역시,2023,2023년09월,2377801.0,-663.0
대구광역시,2023,2023년10월,2376978.0,-823.0
대구광역시,2023,2023년11월,2376044.0,-934.0
대구광역시,2023,2023년12월,2374960.0,-1084.0
대구광역시,2024,2024년01월,2373844.0,-1116.0
대구광역시,2024,2024년02월,2372008.0,-1836.0
대구광역시,2024,2024년03월,2369962.0,-2046.0
대구광역시,2024,2024년04월,2368670.0,-1292.0
대구광역시,2024,2024년05월,2367803.0,-867.0
대구광역시,2024,2024년06월,2367183.0,-620.0
대구광역시,2024,2024년07월,2366660.0,-523.0
대구광역시,2024,2024년08월,2366033.0,-627.0
대구광역시,2024,2024년09월,2365523.0,-510.0
대구광역시,2024,2024년10월,2364892.0,-631.0
대구광역시,2024,2024년11월,2364334.0,-558.0
대구광역시,2024,2024년12월,2363629.0,-705.0
인천광역시,2023,2023년01월,2969502.0,2188.0
인천광역시,2023,2023년02월,2971788.0,2286.0
인천광역시,2023,2023년03월,2974481.0,2693.0
인천광역시,2023,2023년04월,2976338.0,1857.0
인천광역시,2023,2023년05월,2978089.0,1751.0
인천광역시,2023,2023년06월,2978749.0,660.0
인천광역시,2023,2023년07월,2981553.0,2804.0
인천광역시,2023,2023년08월,2985152.0,3599.0
인천광역시,2023,2023년09월,2987918.0,2766.0
인천광역시,2023,2023년10월,2990276.0,2358.0
인천광역시,2023,2023년11월,2993492.0,3216.0
인천광역시,2023,2023년12월,2997410.0,3918.0
인천광역시,2024,2024년01월,3000454.0,3044.0
인천광역시,2024,2024년02월,3003150.0,2696.0
인천광역시,2024,2024년03월,3006045.0,2895.0
인천광역시,2024,2024년04월,3008484.0,2439.0
인천광역시,2024,2024년05월,3009873.0,1389.0
인천광역시,2024,2024년06월,3011073.0,1200.0
인천광역시,2024,2024년07월,3012997.0,1924.0
인천광역시,2024,2024년08월,3014770.0,1773.0
인천광역시,2024,2024년09월,3016520.0,1750.0
인천광역시,2024,2024년10월,3017928.0,1408.0
인천광역시,2024,2024년11월,3018589.0,661.0
인천광역시,2024,2024년12월,3021010.0,2421.0
광주광역시,2023,2023년01월,1429816.0,-1234.0
광주광역시,2023,2023년02월,1428927.0,-889.0
광주광역시,2023,2023년03월,1427508.0,-1419.0
광주광역시,2023,2023년04월,1426625.0,-883.0
광주광역시,2023,2023년05월,1425739.0,-886.0
광주광역시,2023,2023년06월,1424818.0,-921.0
광주광역시,2023,2023년07월,1424305.0,-513.0
광주광역시,2023,2023년08월,1423810.0,-495.0
광주광역시,2023,2023년09월,1422999.0,-811.0
광주광역시,2023,2023년10월,1421760.0,-1239.0
광주광역시,2023,2023년11월,1420822.0,-938.0
광주광역시,2023,2023년12월,1419237.0,-1585.0
광주광역시,2024,2024년01월,1418241.0,-996.0
광주광역시,2024,2024년02월,1417031.0,-1210.0
광주광역시,2024,2024년03월,1415774.0,-1257.0
광주광역시,2024,2024년04월,1414862.0,-912.0
광주광역시,2024,2024년05월,1414254.0,-608.0
광주광역시,2024,2024년06월,1413606.0,-648.0
광주광역시,2024,2024년07월,1412986.0,-620.0
광주광역시,2024,2024년08월,1412063.0,-923.0
광주광역시,2024,2024년09월,1411357.0,-706.0
광주광역시,2024,2024년10월,1410548.0,-809.0
광주광역시,2024,2024년11월,1409624.0,-924.0
광주광역시,2024,2024년12월,1408422.0,-1202.0
대전광역시,2023,2023년01월,1445806.0,-266.0
대전광역시,2023,2023년02월,1445875.0,69.0
대전광역시,2023,2023년03월,1445519.0,-356.0
대전광역시,2023,2023년04월,1445214.0,-305.0
대전광역시,2023,2023년05월,1445221.0,7.0
대전광역시,2023,2023년06월,1445126.0,-95.0
대전광역시,2023,2023년07월,1444898.0,-228.0
대전광역시,2023,2023년08월,1444837.0,-61.0
대전광역시,2023,2023년09월,1444595.0,-242.0
대전광역시,2023,2023년10월,1443965.0,-630.0
대전광역시,2023,2023년11월,1443106.0,-859.0
대전광역시,2023,2023년12월,1442216.0,-890.0
대전광역시,2024,2024년01월,1441562.0,-654.0
대전광역시,2024,2024년02월,1441536.0,-26.0
대전광역시,2024,2024년03월,1441689.0,153.0
대전광역시,2024,2024년04월,1441272.0,-417.0
대전광역시,2024,2024년05월,1441119.0,-153.0
